"BHID";"FROM";"TO";"LENGTH";"CODE";"Minéralogie";"Minéralisation";"DESCRIPTION";"Poids(Kg) p";"Poids(Kg) g";"Poids Récupéré (Kg)";"Poids Théorique (Kg)";"Taux de Récupération (%)";"PROJECT"
GT-RC-28;54.0;55.0;1.0;PEL;;;Pélites gréseuses + ?Py;5.1;30.0;35.1;38.465;91.25;
GT-RC-36;50.0;51.0;1.0;GRE;;;Grèso-pélites;5.1;30.0;35.1;38.465;91.25;
GT-RC-28;118.0;119.0;1.0;PEL;;;Pélites Noires;5.1;29.9;35.0;38.465;90.99;
GT-RC-28;53.0;54.0;1.0;PEL;;;Pélites gréseuses + ?Py;5.1;29.8;34.9;38.465;90.73;
GT-RC-07;44.0;45.0;1.0;GRE;;;Grès noir;5.1;28.5;33.6;38.465;87.35;
GT-RC-09;59.0;60.0;1.0;ST;CAR+QZ;CPY;Structure à ankérite+quartz+CPY;5.1;28.4;33.5;38.465;87.09;
GT-RC-07;43.0;44.0;1.0;GRE;;;Grès noir;5.1;28.3;33.4;38.465;86.83;
GT-RC-07;45.0;46.0;1.0;GRE;;;Grès noir;5.1;28.3;33.4;38.465;86.83;
GT-RC-07;47.0;48.0;1.0;GRE;;;Grès noir;5.1;28.0;33.1;38.465;86.05;
GT-RC-15;46.0;47.0;1.0;GRE;;;Grès;5.1;27.9;33.0;38.465;85.79;
GT-RC-30;45.0;46.0;1.0;PEL;;;Pélites noires;5.1;27.9;33.0;38.465;85.79;
GT-RC-19;10.0;11.0;1.0;GRE;;;Gres quartzique;5.1;27.6;32.7;38.465;85.01;
GT-RC-28;44.0;45.0;1.0;GRE;;;Grès + epsilon Py;5.1;27.6;32.7;38.465;85.01;
GT-RC-15;6.0;7.0;1.0;GRE;;;Grès;5.1;27.3;32.4;38.465;84.23;
GT-RC-19;15.0;16.0;1.0;GRE;;;Gres quartzique;5.1;27.3;32.4;38.465;84.23;
GT-RC-19;53.0;54.0;1.0;GRE;;;Grès;5.1;27.3;32.4;38.465;84.23;
GT-RC-19;57.0;58.0;1.0;GRE;;;Grès;5.1;27.3;32.4;38.465;84.23;
GT-RC-19;106.0;107.0;1.0;PEL;;;Pélites noires + traces Ankerite et quartz;5.1;27.3;32.4;38.465;84.23;
GT-RC-28;39.0;40.0;1.0;GRE;;;Grès + epsilon Py;5.1;27.3;32.4;38.465;84.23;
GT-RC-15;23.0;24.0;1.0;GRE;;;Grès;5.1;27.0;32.1;38.465;83.45;
GT-RC-15;40.0;41.0;1.0;GRE;;;Grès;5.1;27.0;32.1;38.465;83.45;
GT-RC-15;44.0;45.0;1.0;GRE;;;Grès+ankérites;5.1;27.0;32.1;38.465;83.45;
GT-RC-19;41.0;42.0;1.0;GRE;;;Grès;5.1;27.0;32.1;38.465;83.45;
GT-RC-28;121.0;122.0;1.0;PEL;;;Pélites Noires;5.1;27.0;32.1;38.465;83.45;
GT-RC-15;10.0;11.0;1.0;GRE;;;Grès altérés oxydés;5.1;26.7;31.8;38.465;82.67;
GT-RC-15;11.0;12.0;1.0;GRE;;;Grès altérés oxydés;5.1;26.7;31.8;38.465;82.67;
GT-RC-07;38.0;39.0;1.0;GRE;;;Grès noir;5.1;26.5;31.6;38.465;82.15;
